time;normal;hipox;imm;tum
1157;172;2;14;0
1158;172;2;14;0
1159;172;2;14;0
1160;172;2;14;0
1161;172;2;14;0
1162;172;2;14;0
1163;172;2;14;0
1164;172;2;14;0
1165;172;2;14;0
1166;172;2;14;0
1167;172;2;14;0
1168;172;2;14;0
1169;172;2;14;0
1170;172;2;14;0
1171;172;2;14;0
1172;172;2;14;0
1173;172;2;14;0
1174;172;2;14;0
1175;172;2;14;0
1176;172;2;14;0
1177;172;2;14;0
1178;172;2;14;0
1179;172;2;14;0
1180;172;2;14;0
1181;172;2;14;0
1182;172;2;14;0
1183;172;2;14;0
1184;172;2;14;0
1185;172;2;14;0
1186;172;2;14;0
1187;172;2;14;0
1188;172;2;14;0
1189;172;2;14;0
1190;172;2;14;0
1191;172;2;14;0
1192;172;2;14;0
1193;172;2;14;0
1194;172;2;14;0
1195;172;2;14;0
1196;172;2;13;0
1197;172;2;13;0
1198;172;2;13;0
1199;172;2;13;0
1200;172;2;13;0
1201;172;2;13;0
1202;172;2;13;0
1203;172;2;13;0
1204;172;2;13;0
1205;172;2;13;0
1206;172;2;13;0
1207;172;2;13;0
1208;172;2;13;0
1209;172;2;13;0
1210;172;2;13;0
1211;172;2;13;0
1212;172;2;13;0
1213;172;2;13;0
1214;172;2;13;0
1215;172;2;13;0
1216;172;2;13;0
1217;172;2;13;0
1218;172;2;13;0
1219;172;2;13;0
1220;172;2;13;0
1221;172;2;13;0
1222;172;2;13;0
1223;172;2;13;0
1224;172;2;13;0
1225;172;2;13;0
1226;172;2;13;0
1227;172;2;13;0
1228;172;2;13;0
1229;172;2;13;0
1230;172;2;13;0
1231;172;2;13;0
1232;172;2;13;0
1233;172;2;13;0
1234;172;2;13;0
1235;172;2;13;0
1236;172;2;13;0
1237;172;2;13;0
1238;172;2;13;0
1239;172;2;13;0
1240;172;2;13;0
1241;172;2;13;0
1242;172;2;13;0
1243;172;2;13;0
1244;172;2;13;0
1245;172;2;13;0
1246;172;2;13;0
1247;172;2;13;0
1248;172;2;13;0
1249;172;2;13;0
1250;172;2;13;0
1251;172;2;13;0
1252;172;2;13;0
1253;172;2;13;0
1254;172;2;13;0
1255;172;2;13;0
1256;172;2;13;0
1257;172;2;13;0
1258;172;2;13;0
1259;172;2;13;0
1260;172;2;13;0
